ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
W8l6_ROPvJw,UCUU3GdGuQshZFRGnxAPBf_w,2024-10-24,24
HWEzxj6pqkg,UCMmVPVb0BwSIOWVeDwlPocQ,2024-10-28,17
KJ0TuwmSgiw,UCBjiLLFSINNtaQr_X4fRLrg,2024-10-31,20
F5UDQQUUDao,UCBQZwaNPFfJ1gZ1fLZpAEGw,2024-10-30,10
-J_w9K6DgRo,UCaO6TYtlC8U5ttz62hTrZgg,2024-10-27,10
IEzgtBOt4bU,UC5JYRErFekvgcd2Sb-s8-Tg,2024-10-27,23
ifINhTmV4yU,UCVe_RrR9AMeY6Z8ixOv5gtw,2024-10-28,22
4Dr7HljrsoQ,UCch9Dmg5Juwp8MZGvAmAp4Q,2024-10-25,1
Rs8bNwfVyM0,UCVAbWl3d3XuHY28wU9DoDpA,2024-10-26,22
aZlRG12Ami8,UCzTlXb7ivVzuFlugVCv3Kvg,2024-10-26,20
yDZGQT37y7I,UClBnxUXbfpnwZjchDz52B7Q,2024-10-29,20
rhTZTy1rZhw,UC2t5bjwHdUX4vM2g8TRDq5g,2024-10-26,20
PImf0bJoGQ8,UCH_7doiCkWeq0v3ycWE5lDw,2024-10-28,20
dGKXp8_LP2U,UC1oigGPZ4A6atKCnj17ow8Q,2024-10-27,17
Y41VVNEcm-U,UCakRszbIjjGYtFrDPeg5Ieg,2024-10-31,17
Fy5BMlwlh4o,UCTSRIY3GLFYIpkR2QwyeklA,2024-10-25,23
v2BjVurDSic,UChRlaISXbl2gECFAmDzxgzg,2024-10-26,2
NrUlydECU-8,UCaO6TYtlC8U5ttz62hTrZgg,2024-10-27,10
PWjZ3p1jNho,UC3IZKseVpdzPSBaWxBxundA,2024-10-25,10
cIAoz2ebBoU,UCMUP9j-QidC_S0KLlO06uCg,2024-10-25,20
R_clisSImS4,UCo1DYcm1IZ9v3UPkpiAcgtg,2024-10-28,10
y38qQRg3UDI,UC4eYXhJI4-7wSWc8UNRwD4A,2024-10-25,10
Qt6YiVZLhG0,UC3Cs0kPcr0GQPCVzX32NQPg,2024-10-25,10
hQ2f7dI41hM,UC1HL3TABt6QGd_P857BH_CA,2024-10-25,20
4BjOaq9ZLUo,UC0biFgrMdkv1hFAFLVePODQ,2024-10-28,24
KnmegqkWXtM,UChDKyKQ59fYz3JO2fl0Z6sg,2024-10-28,25
G1WgoZVIXbw,UCYAB7hh1ohA8-iX54EpMdeA,2024-10-25,24
RhDFW32GpDM,UCkgsrOXWQNZRS_Cj8-_7sPw,2024-10-28,17
817L86agTTk,UCQMELFlXQL38KPm8kM-4Adg,2024-10-28,2
eaB7nCdId0Y,UCE_M8A5yxnLfW0KghEeajjw,2024-10-28,28
YqVUqZxyw3c,UCB9_VH_CNbbH4GfKu8qh63w,2024-10-27,24
I_VO_ElQgso,UCmmc_ObsixkMiLq7BXobAnQ,2024-10-27,24
DO_iGu_U9xo,UCXqV4yoyC_mmZye6VbKFPeQ,2024-10-26,20
Sih0v01Wbek,UC07Kxew-cMIaykMOkzqHtBQ,2024-10-25,10
DrSfBULAsek,UCqwxMqUcL-XC3D9-fTP93Mg,2024-11-01,10
ttovshZgIC0,UCyXiDU5qjfOPxgOPeFWGwKw,2024-10-28,2
ReD8i61RZdI,UCOuId57F0KOwFkLXCdTQSNw,2024-10-25,24
UTDpgEraPbA,UCSnqXeK94-iNmwqGO__eJ5g,2024-10-27,22
VJe-B9TeGy8,UCL6JmiMXKoXS6bpP1D3bk8g,2024-10-25,2
bgo7rm5Maqg,UCsXVk37bltHxD1rDPwtNM8Q,2024-10-29,27
qS1K84Nq6wU,UCYqsJbDDngvxb_rbHzHpYGA,2024-10-26,24
ZViWWpA2AFk,UC513PdAP2-jWkJunTh5kXRw,2024-10-26,28
fSHoePrnmMw,UCZU9T1ceaOgwfLRq7OKFU4Q,2024-10-24,10
9vZVDUjWerI,UCoLrcjPV5PbUrUyXq5mjc_A,2024-10-30,17
7RLlZzS1NNg,UCoLrcjPV5PbUrUyXq5mjc_A,2024-10-31,17
pxY82K0_hSs,UCTkXRDQl0luXxVQrRQvWS6w,2024-10-24,20
l6GoKf1b4mw,UCAOiVaJJlH0Oduv48NN0mMA,2024-10-28,10
FVON5lJX67E,UChhMknOcAZOQXC1rh0ler-Q,2024-10-15,27
meabXp-IFkM,UCGIY_O-8vW4rfX98KlMkvRg,2024-10-29,20
P3eDn06cZA8,UCSZbXT5TLLW_i-5W8FZpFsg,2024-10-26,17
ZyVjEdcFSO0,UCJ2GvhrAJ2GQVPZ0auza4vw,2024-10-26,24
jdXm2eFyOTs,UC0M0rxSz3IF0CsSour1iWmw,2024-10-28,20
0VKNgWkoaWU,UCxcTeAKWJca6XyJ37_ZoKIQ,2024-10-28,17
MXoO2GM7bgc,UCh7EqOZt7EvO2osuKbIlpGg,2024-10-24,20
8Ro085T0mnQ,UCrnvtdLN6AHgQ8SdFGLalfw,2024-10-25,10
tvwIvXJHncE,UCe_Fx4EZAgKjDz0aQ_Y7hSA,2024-10-26,24
uffWpXSc0Hk,UCqfjksqVIiNz1SRGfy4CkZA,2024-10-24,24
1-D2dEw2ihw,UCKaCalz5N5ienIbfPzEbYuA,2024-10-26,24
GsFOqAgyuY0,UCqly9F4Fr_jf2Y1Cy5hacRg,2024-10-29,20
jWQx2f-CErU,UCEf_Bc-KVd7onSeifS3py9g,2024-10-21,10
